Problema,Número de Cidades,Rota,Custo,Tempo(ms),Modo
1,48,"ANGICOS
 PAU DOS FERROS
 PARNAMIRIM
 SÃO JOSÉ DO MIPIBÚ
 MACAÍBA
 IPANGUAÇU
 CURRAIS NOVOS
 AFONSO BEZERRA
 JOÃO CÂMARA
 LAJES
 SANTANA DO MATOS
 MOSSORÓ
 FERNANDO PEDROSA
 SANTA CRUZ
 ASSÚ
 SÃO RAFAEL
 ANGICOS
 ",13,0,Distância
3,24,"ANGICOS
 NATAL
 ITAJÁ
 CURRAIS NOVOS
 JUCURUTU
 ASSÚ
 SÃO RAFAEL
 PEDRO AVELINO
 JOÃO CÂMARA
 CAICÓ
 MACAU
 MACAÍBA
 SÃO GONÇALO DO AMARANTE
 AFONSO BEZERRA
 PAU DOS FERROS
 IPANGUAÇU
 FERNANDO PEDROSA
 SANTA CRUZ
 SANTANA DO MATOS
 LAJES
 MOSSORÓ
 SÃO MIGUEL
 PARNAMIRIM
 SÃO JOSÉ DO MIPIBÚ
 ANGICOS
 ",1170,0,Tempo
4,12,"ANGICOS
 ITAJÁ
 NATAL
 JUCURUTU
 PEDRO AVELINO
 MOSSORÓ
 ASSÚ
 FERNANDO PEDROSA
 LAJES
 SANTANA DO MATOS
 SÃO RAFAEL
 AFONSO BEZERRA
 ANGICOS
 ",16,0,Distância
4,12,"ANGICOS
 NATAL
 ITAJÁ
 JUCURUTU
 ASSÚ
 SÃO RAFAEL
 PEDRO AVELINO
 FERNANDO PEDROSA
 SANTANA DO MATOS
 LAJES
 MOSSORÓ
 AFONSO BEZERRA
 ANGICOS
 ",441,0,Tempo
5,7,"ANGICOS
 ITAJÁ
 NATAL
 JUCURUTU
 MOSSORÓ
 ASSÚ
 SÃO RAFAEL
 ANGICOS
 ",3,0,Distância
5,7,"ANGICOS
 MOSSORÓ
 ITAJÁ
 JUCURUTU
 ASSÚ
 SÃO RAFAEL
 NATAL
 ANGICOS
 ",219,0,Tempo
6,6,"ANGICOS
 ITAJÁ
 JUCURUTU
 MOSSORÓ
 ASSÚ
 SÃO RAFAEL
 ANGICOS
 ",3,0,Distância
6,6,"ANGICOS
 MOSSORÓ
 ITAJÁ
 JUCURUTU
 ASSÚ
 SÃO RAFAEL
 ANGICOS
 ",121,0,Tempo
